Population,RegionName,Time,Indicator,NumValue
Third-gen cephalosporins,Luxembourg,2018,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Latvia,2018,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Malta,2018,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Netherlands,2018,"I - 'susceptible, increased exposure' isolates ",14.000000000
Third-gen cephalosporins,Norway,2018,"I - 'susceptible, increased exposure' isolates ",7.000000000
Third-gen cephalosporins,Poland,2018,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Portugal,2018,"I - 'susceptible, increased exposure' isolates ",63.000000000
Third-gen cephalosporins,Romania,2018,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Sweden,2018,"I - 'susceptible, increased exposure' isolates ",23.000000000
Third-gen cephalosporins,Slovenia,2018,"I - 'susceptible, increased exposure' isolates ",2.000000000
Third-gen cephalosporins,Slovakia,2018,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,United Kingdom,2018,"I - 'susceptible, increased exposure' isolates ",48.000000000
Third-gen cephalosporins,Austria,2019,"I - 'susceptible, increased exposure' isolates ",15.000000000
Third-gen cephalosporins,Belgium,2019,"I - 'susceptible, increased exposure' isolates ",14.000000000
Third-gen cephalosporins,Bulgaria,2019,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Cyprus,2019,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Czechia,2019,"I - 'susceptible, increased exposure' isolates ",23.000000000
Third-gen cephalosporins,Germany,2019,"I - 'susceptible, increased exposure' isolates ",60.000000000
Third-gen cephalosporins,Denmark,2019,"I - 'susceptible, increased exposure' isolates ",14.000000000
Third-gen cephalosporins,Estonia,2019,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Greece,2019,"I - 'susceptible, increased exposure' isolates ",3.000000000
Third-gen cephalosporins,Spain,2019,"I - 'susceptible, increased exposure' isolates ",17.000000000
Third-gen cephalosporins,Finland,2019,"I - 'susceptible, increased exposure' isolates ",16.000000000
Third-gen cephalosporins,France,2019,"I - 'susceptible, increased exposure' isolates ",52.000000000
Third-gen cephalosporins,Croatia,2019,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Hungary,2019,"I - 'susceptible, increased exposure' isolates ",4.000000000
Third-gen cephalosporins,Ireland,2019,"I - 'susceptible, increased exposure' isolates ",9.000000000
Third-gen cephalosporins,Iceland,2019,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Italy,2019,"I - 'susceptible, increased exposure' isolates ",123.000000000
Third-gen cephalosporins,Lithuania,2019,"I - 'susceptible, increased exposure' isolates ",8.000000000
Third-gen cephalosporins,Luxembourg,2019,"I - 'susceptible, increased exposure' isolates ",1.000000000
Third-gen cephalosporins,Latvia,2019,"I - 'susceptible, increased exposure' isolates ",0.000000000
Third-gen cephalosporins,Malta,2019,"I - 'susceptible, increased exposure' isolates ",5.000000000
Third-gen cephalosporins,Netherlands,2019,"I - 'susceptible, increased exposure' isolates ",12.000000000
Third-gen cephalosporins,Norway,2019,"I - 'susceptible, increased exposure' isolates ",11.000000000
Third-gen cephalosporins,Poland,2019,"I - 'susceptible, increased exposure' isolates ",10.000000000
Third-gen cephalosporins,Portugal,2019,"I - 'susceptible, increased exposure' isolates ",75.000000000
Third-gen cephalosporins,Romania,2019,"I - 'susceptible, increased exposure' isolates ",0.000000000
